2026-02-05 21:40:08 startup archives unpack
2026-02-05 21:40:09 install gedit-common:all <none> 46.2-2
2026-02-05 21:40:09 status half-installed gedit-common:all 46.2-2
2026-02-05 21:40:09 status triggers-pending libglib2.0-0t64:amd64 2.80.0-6ubuntu3.7
2026-02-05 21:40:09 status triggers-pending hicolor-icon-theme:all 0.17-2
2026-02-05 21:40:09 status triggers-pending man-db:amd64 2.12.0-4build2
2026-02-05 21:40:09 status unpacked gedit-common:all 46.2-2
2026-02-05 21:40:09 install libgedit-gtksourceview-300-common:all <none> 299.0.4-3build1
2026-02-05 21:40:09 status half-installed libgedit-gtksourceview-300-common:all 299.0.4-3build1
2026-02-05 21:40:10 status unpacked libgedit-gtksourceview-300-common:all 299.0.4-3build1
2026-02-05 21:40:10 install libgedit-gtksourceview-300-0:amd64 <none> 299.0.4-3build1
2026-02-05 21:40:10 status triggers-pending libc-bin:amd64 2.39-0ubuntu8.6
2026-02-05 21:40:10 status half-installed libgedit-gtksourceview-300-0:amd64 299.0.4-3build1
2026-02-05 21:40:10 status unpacked libgedit-gtksourceview-300-0:amd64 299.0.4-3build1
2026-02-05 21:40:10 install gir1.2-gtksource-300:amd64 <none> 299.0.4-3build1
2026-02-05 21:40:10 status half-installed gir1.2-gtksource-300:amd64 299.0.4-3build1
2026-02-05 21:40:10 status unpacked gir1.2-gtksource-300:amd64 299.0.4-3build1
2026-02-05 21:40:10 install python3-gi-cairo:amd64 <none> 3.48.2-1
2026-02-05 21:40:10 status half-installed python3-gi-cairo:amd64 3.48.2-1
2026-02-05 21:40:10 status unpacked python3-gi-cairo:amd64 3.48.2-1
2026-02-05 21:40:10 install libgedit-amtk-5-common:all <none> 5.8.0-4build2
2026-02-05 21:40:10 status half-installed libgedit-amtk-5-common:all 5.8.0-4build2
2026-02-05 21:40:10 status unpacked libgedit-amtk-5-common:all 5.8.0-4build2
2026-02-05 21:40:10 install libgedit-amtk-5-0:amd64 <none> 5.8.0-4build2
2026-02-05 21:40:10 status half-installed libgedit-amtk-5-0:amd64 5.8.0-4build2
2026-02-05 21:40:10 status unpacked libgedit-amtk-5-0:amd64 5.8.0-4build2
2026-02-05 21:40:10 install gir1.2-amtk-5:amd64 <none> 5.8.0-4build2
2026-02-05 21:40:10 status half-installed gir1.2-amtk-5:amd64 5.8.0-4build2
2026-02-05 21:40:10 status unpacked gir1.2-amtk-5:amd64 5.8.0-4build2
2026-02-05 21:40:10 install libtepl-common:all <none> 6.8.0-2build4
2026-02-05 21:40:10 status half-installed libtepl-common:all 6.8.0-2build4
2026-02-05 21:40:10 status unpacked libtepl-common:all 6.8.0-2build4
2026-02-05 21:40:10 install libtepl-6-4:amd64 <none> 6.8.0-2build4
2026-02-05 21:40:10 status half-installed libtepl-6-4:amd64 6.8.0-2build4
2026-02-05 21:40:10 status unpacked libtepl-6-4:amd64 6.8.0-2build4
2026-02-05 21:40:10 install gir1.2-tepl-6:amd64 <none> 6.8.0-2build4
2026-02-05 21:40:10 status half-installed gir1.2-tepl-6:amd64 6.8.0-2build4
2026-02-05 21:40:10 status unpacked gir1.2-tepl-6:amd64 6.8.0-2build4
2026-02-05 21:40:10 install gedit:amd64 <none> 46.2-2
2026-02-05 21:40:10 status half-installed gedit:amd64 46.2-2
2026-02-05 21:40:10 status triggers-pending gnome-menus:amd64 3.36.0-1.1ubuntu3
2026-02-05 21:40:10 status triggers-pending desktop-file-utils:amd64 0.27-2build1
2026-02-05 21:40:10 status unpacked gedit:amd64 46.2-2
2026-02-05 21:40:10 startup packages configure
2026-02-05 21:40:10 configure gedit-common:all 46.2-2 <none>
2026-02-05 21:40:10 status unpacked gedit-common:all 46.2-2
2026-02-05 21:40:10 status half-configured gedit-common:all 46.2-2
2026-02-05 21:40:10 status triggers-awaited gedit-common:all 46.2-2
2026-02-05 21:40:10 configure libtepl-common:all 6.8.0-2build4 <none>
2026-02-05 21:40:10 status unpacked libtepl-common:all 6.8.0-2build4
2026-02-05 21:40:10 status half-configured libtepl-common:all 6.8.0-2build4
2026-02-05 21:40:10 status installed libtepl-common:all 6.8.0-2build4
2026-02-05 21:40:10 configure libgedit-gtksourceview-300-common:all 299.0.4-3build1 <none>
2026-02-05 21:40:10 status unpacked libgedit-gtksourceview-300-common:all 299.0.4-3build1
2026-02-05 21:40:10 status half-configured libgedit-gtksourceview-300-common:all 299.0.4-3build1
2026-02-05 21:40:10 status installed libgedit-gtksourceview-300-common:all 299.0.4-3build1
2026-02-05 21:40:10 configure libgedit-amtk-5-common:all 5.8.0-4build2 <none>
2026-02-05 21:40:10 status unpacked libgedit-amtk-5-common:all 5.8.0-4build2
2026-02-05 21:40:10 status half-configured libgedit-amtk-5-common:all 5.8.0-4build2
2026-02-05 21:40:10 status installed libgedit-amtk-5-common:all 5.8.0-4build2
2026-02-05 21:40:10 configure libgedit-amtk-5-0:amd64 5.8.0-4build2 <none>
2026-02-05 21:40:10 status unpacked libgedit-amtk-5-0:amd64 5.8.0-4build2
2026-02-05 21:40:10 status half-configured libgedit-amtk-5-0:amd64 5.8.0-4build2
2026-02-05 21:40:10 status installed libgedit-amtk-5-0:amd64 5.8.0-4build2
2026-02-05 21:40:10 configure python3-gi-cairo:amd64 3.48.2-1 <none>
2026-02-05 21:40:10 status unpacked python3-gi-cairo:amd64 3.48.2-1
2026-02-05 21:40:10 status half-configured python3-gi-cairo:amd64 3.48.2-1
2026-02-05 21:40:10 status installed python3-gi-cairo:amd64 3.48.2-1
2026-02-05 21:40:10 configure libgedit-gtksourceview-300-0:amd64 299.0.4-3build1 <none>
2026-02-05 21:40:10 status unpacked libgedit-gtksourceview-300-0:amd64 299.0.4-3build1
2026-02-05 21:40:10 status half-configured libgedit-gtksourceview-300-0:amd64 299.0.4-3build1
2026-02-05 21:40:10 status installed libgedit-gtksourceview-300-0:amd64 299.0.4-3build1
2026-02-05 21:40:10 configure gir1.2-amtk-5:amd64 5.8.0-4build2 <none>
2026-02-05 21:40:10 status unpacked gir1.2-amtk-5:amd64 5.8.0-4build2
2026-02-05 21:40:10 status half-configured gir1.2-amtk-5:amd64 5.8.0-4build2
2026-02-05 21:40:10 status installed gir1.2-amtk-5:amd64 5.8.0-4build2
2026-02-05 21:40:10 configure gir1.2-gtksource-300:amd64 299.0.4-3build1 <none>
2026-02-05 21:40:10 status unpacked gir1.2-gtksource-300:amd64 299.0.4-3build1
2026-02-05 21:40:10 status half-configured gir1.2-gtksource-300:amd64 299.0.4-3build1
2026-02-05 21:40:10 status installed gir1.2-gtksource-300:amd64 299.0.4-3build1
2026-02-05 21:40:10 configure libtepl-6-4:amd64 6.8.0-2build4 <none>
2026-02-05 21:40:10 status unpacked libtepl-6-4:amd64 6.8.0-2build4
2026-02-05 21:40:10 status half-configured libtepl-6-4:amd64 6.8.0-2build4
2026-02-05 21:40:10 status installed libtepl-6-4:amd64 6.8.0-2build4
2026-02-05 21:40:10 configure gir1.2-tepl-6:amd64 6.8.0-2build4 <none>
2026-02-05 21:40:10 status unpacked gir1.2-tepl-6:amd64 6.8.0-2build4
2026-02-05 21:40:10 status half-configured gir1.2-tepl-6:amd64 6.8.0-2build4
2026-02-05 21:40:10 status installed gir1.2-tepl-6:amd64 6.8.0-2build4
2026-02-05 21:40:10 trigproc gnome-menus:amd64 3.36.0-1.1ubuntu3 <none>
2026-02-05 21:40:10 status half-configured gnome-menus:amd64 3.36.0-1.1ubuntu3
2026-02-05 21:40:10 status installed gnome-menus:amd64 3.36.0-1.1ubuntu3
2026-02-05 21:40:10 trigproc libc-bin:amd64 2.39-0ubuntu8.6 <none>
2026-02-05 21:40:10 status half-configured libc-bin:amd64 2.39-0ubuntu8.6
2026-02-05 21:40:11 status installed libc-bin:amd64 2.39-0ubuntu8.6
2026-02-05 21:40:11 trigproc man-db:amd64 2.12.0-4build2 <none>
2026-02-05 21:40:11 status half-configured man-db:amd64 2.12.0-4build2
2026-02-05 21:40:12 status installed man-db:amd64 2.12.0-4build2
2026-02-05 21:40:12 trigproc libglib2.0-0t64:amd64 2.80.0-6ubuntu3.7 <none>
2026-02-05 21:40:12 status half-configured libglib2.0-0t64:amd64 2.80.0-6ubuntu3.7
2026-02-05 21:40:12 status installed gedit-common:all 46.2-2
2026-02-05 21:40:12 status installed libglib2.0-0t64:amd64 2.80.0-6ubuntu3.7
2026-02-05 21:40:12 trigproc desktop-file-utils:amd64 0.27-2build1 <none>
2026-02-05 21:40:12 status half-configured desktop-file-utils:amd64 0.27-2build1
2026-02-05 21:40:12 status installed desktop-file-utils:amd64 0.27-2build1
2026-02-05 21:40:12 trigproc hicolor-icon-theme:all 0.17-2 <none>
2026-02-05 21:40:12 status half-configured hicolor-icon-theme:all 0.17-2
2026-02-05 21:40:12 status installed hicolor-icon-theme:all 0.17-2
2026-02-05 21:40:12 configure gedit:amd64 46.2-2 <none>
2026-02-05 21:40:12 status unpacked gedit:amd64 46.2-2
2026-02-05 21:40:12 status half-configured gedit:amd64 46.2-2
2026-02-05 21:40:12 status installed gedit:amd64 46.2-2
2026-02-07 12:12:13 startup archives unpack
2026-02-07 12:12:15 upgrade libpng16-16t64:amd64 1.6.43-5ubuntu0.3 1.6.43-5ubuntu0.4
2026-02-07 12:12:15 status triggers-pending libc-bin:amd64 2.39-0ubuntu8.6
2026-02-07 12:12:15 status half-configured libpng16-16t64:amd64 1.6.43-5ubuntu0.3
2026-02-07 12:12:15 status unpacked libpng16-16t64:amd64 1.6.43-5ubuntu0.3
2026-02-07 12:12:15 status half-installed libpng16-16t64:amd64 1.6.43-5ubuntu0.3
2026-02-07 12:12:15 status unpacked libpng16-16t64:amd64 1.6.43-5ubuntu0.4
2026-02-07 12:12:15 startup packages configure
2026-02-07 12:12:15 configure libpng16-16t64:amd64 1.6.43-5ubuntu0.4 <none>
2026-02-07 12:12:15 status unpacked libpng16-16t64:amd64 1.6.43-5ubuntu0.4
2026-02-07 12:12:15 status half-configured libpng16-16t64:amd64 1.6.43-5ubuntu0.4
2026-02-07 12:12:15 status installed libpng16-16t64:amd64 1.6.43-5ubuntu0.4
2026-02-07 12:12:15 trigproc libc-bin:amd64 2.39-0ubuntu8.6 <none>
2026-02-07 12:12:15 status half-configured libc-bin:amd64 2.39-0ubuntu8.6
2026-02-07 12:12:15 status installed libc-bin:amd64 2.39-0ubuntu8.6
2026-02-07 12:12:22 startup archives unpack
2026-02-07 12:12:22 upgrade libc-devtools:amd64 2.39-0ubuntu8.6 2.39-0ubuntu8.7
2026-02-07 12:12:22 status half-configured libc-devtools:amd64 2.39-0ubuntu8.6
2026-02-07 12:12:22 status unpacked libc-devtools:amd64 2.39-0ubuntu8.6
2026-02-07 12:12:22 status half-installed libc-devtools:amd64 2.39-0ubuntu8.6
2026-02-07 12:12:22 status triggers-pending man-db:amd64 2.12.0-4build2
2026-02-07 12:12:22 status unpacked libc-devtools:amd64 2.39-0ubuntu8.7
2026-02-07 12:12:22 upgrade libc6-dev:amd64 2.39-0ubuntu8.6 2.39-0ubuntu8.7
2026-02-07 12:12:22 status half-configured libc6-dev:amd64 2.39-0ubuntu8.6
2026-02-07 12:12:22 status unpacked libc6-dev:amd64 2.39-0ubuntu8.6
2026-02-07 12:12:22 status half-installed libc6-dev:amd64 2.39-0ubuntu8.6
2026-02-07 12:12:23 status unpacked libc6-dev:amd64 2.39-0ubuntu8.7
2026-02-07 12:12:23 upgrade libc-dev-bin:amd64 2.39-0ubuntu8.6 2.39-0ubuntu8.7
2026-02-07 12:12:23 status half-configured libc-dev-bin:amd64 2.39-0ubuntu8.6
2026-02-07 12:12:23 status unpacked libc-dev-bin:amd64 2.39-0ubuntu8.6
2026-02-07 12:12:23 status half-installed libc-dev-bin:amd64 2.39-0ubuntu8.6
2026-02-07 12:12:23 status unpacked libc-dev-bin:amd64 2.39-0ubuntu8.7
2026-02-07 12:12:23 upgrade libc6-dbg:amd64 2.39-0ubuntu8.6 2.39-0ubuntu8.7
2026-02-07 12:12:23 status half-configured libc6-dbg:amd64 2.39-0ubuntu8.6
2026-02-07 12:12:23 status unpacked libc6-dbg:amd64 2.39-0ubuntu8.6
2026-02-07 12:12:23 status half-installed libc6-dbg:amd64 2.39-0ubuntu8.6
2026-02-07 12:12:23 status unpacked libc6-dbg:amd64 2.39-0ubuntu8.7
2026-02-07 12:12:24 upgrade libc6:amd64 2.39-0ubuntu8.6 2.39-0ubuntu8.7
2026-02-07 12:12:24 status triggers-pending libc-bin:amd64 2.39-0ubuntu8.6
2026-02-07 12:12:24 status half-configured libc6:amd64 2.39-0ubuntu8.6
2026-02-07 12:12:24 status unpacked libc6:amd64 2.39-0ubuntu8.6
2026-02-07 12:12:24 status half-installed libc6:amd64 2.39-0ubuntu8.6
2026-02-07 12:12:24 status unpacked libc6:amd64 2.39-0ubuntu8.7
2026-02-07 12:12:25 startup packages configure
2026-02-07 12:12:25 configure libc6:amd64 2.39-0ubuntu8.7 <none>
2026-02-07 12:12:25 status unpacked libc6:amd64 2.39-0ubuntu8.7
2026-02-07 12:12:25 status half-configured libc6:amd64 2.39-0ubuntu8.7
2026-02-07 12:12:26 status installed libc6:amd64 2.39-0ubuntu8.7
2026-02-07 12:12:26 startup archives unpack
2026-02-07 12:12:27 upgrade libc-bin:amd64 2.39-0ubuntu8.6 2.39-0ubuntu8.7
2026-02-07 12:12:27 status half-configured libc-bin:amd64 2.39-0ubuntu8.6
2026-02-07 12:12:27 status unpacked libc-bin:amd64 2.39-0ubuntu8.6
2026-02-07 12:12:27 status half-installed libc-bin:amd64 2.39-0ubuntu8.6
2026-02-07 12:12:27 status unpacked libc-bin:amd64 2.39-0ubuntu8.7
2026-02-07 12:12:27 startup packages configure
2026-02-07 12:12:27 configure libc-bin:amd64 2.39-0ubuntu8.7 <none>
2026-02-07 12:12:27 status unpacked libc-bin:amd64 2.39-0ubuntu8.7
2026-02-07 12:12:27 status half-configured libc-bin:amd64 2.39-0ubuntu8.7
2026-02-07 12:12:27 status installed libc-bin:amd64 2.39-0ubuntu8.7
2026-02-07 12:12:27 startup archives unpack
2026-02-07 12:12:27 upgrade locales:all 2.39-0ubuntu8.6 2.39-0ubuntu8.7
2026-02-07 12:12:27 status half-configured locales:all 2.39-0ubuntu8.6
2026-02-07 12:12:27 status unpacked locales:all 2.39-0ubuntu8.6
2026-02-07 12:12:27 status half-installed locales:all 2.39-0ubuntu8.6
2026-02-07 12:12:28 status unpacked locales:all 2.39-0ubuntu8.7
2026-02-07 12:12:28 startup packages configure
2026-02-07 12:12:28 configure locales:all 2.39-0ubuntu8.7 <none>
2026-02-07 12:12:28 status unpacked locales:all 2.39-0ubuntu8.7
2026-02-07 12:12:28 status half-configured locales:all 2.39-0ubuntu8.7
2026-02-07 12:13:39 status installed locales:all 2.39-0ubuntu8.7
2026-02-07 12:13:39 configure libc6-dbg:amd64 2.39-0ubuntu8.7 <none>
2026-02-07 12:13:39 status unpacked libc6-dbg:amd64 2.39-0ubuntu8.7
2026-02-07 12:13:39 status half-configured libc6-dbg:amd64 2.39-0ubuntu8.7
2026-02-07 12:13:39 status installed libc6-dbg:amd64 2.39-0ubuntu8.7
2026-02-07 12:13:39 configure libc-dev-bin:amd64 2.39-0ubuntu8.7 <none>
2026-02-07 12:13:39 status unpacked libc-dev-bin:amd64 2.39-0ubuntu8.7
2026-02-07 12:13:39 status half-configured libc-dev-bin:amd64 2.39-0ubuntu8.7
2026-02-07 12:13:39 status installed libc-dev-bin:amd64 2.39-0ubuntu8.7
2026-02-07 12:13:39 configure libc-devtools:amd64 2.39-0ubuntu8.7 <none>
2026-02-07 12:13:39 status unpacked libc-devtools:amd64 2.39-0ubuntu8.7
2026-02-07 12:13:39 status half-configured libc-devtools:amd64 2.39-0ubuntu8.7
2026-02-07 12:13:39 status installed libc-devtools:amd64 2.39-0ubuntu8.7
2026-02-07 12:13:39 configure libc6-dev:amd64 2.39-0ubuntu8.7 <none>
2026-02-07 12:13:39 status unpacked libc6-dev:amd64 2.39-0ubuntu8.7
2026-02-07 12:13:39 status half-configured libc6-dev:amd64 2.39-0ubuntu8.7
2026-02-07 12:13:39 status installed libc6-dev:amd64 2.39-0ubuntu8.7
2026-02-07 12:13:39 trigproc man-db:amd64 2.12.0-4build2 <none>
2026-02-07 12:13:39 status half-configured man-db:amd64 2.12.0-4build2
2026-02-07 12:13:44 status installed man-db:amd64 2.12.0-4build2
2026-02-07 12:13:50 startup archives unpack
2026-02-07 12:13:51 upgrade openjdk-21-jre:amd64 21.0.9+10-1~24.04 21.0.10+7-1~24.04
2026-02-07 12:13:51 status half-configured openjdk-21-jre:amd64 21.0.9+10-1~24.04
2026-02-07 12:13:51 status unpacked openjdk-21-jre:amd64 21.0.9+10-1~24.04
2026-02-07 12:13:51 status half-installed openjdk-21-jre:amd64 21.0.9+10-1~24.04
2026-02-07 12:13:51 status triggers-pending gnome-menus:amd64 3.36.0-1.1ubuntu3
2026-02-07 12:13:51 status triggers-pending desktop-file-utils:amd64 0.27-2build1
2026-02-07 12:13:51 status triggers-pending hicolor-icon-theme:all 0.17-2
2026-02-07 12:13:51 status unpacked openjdk-21-jre:amd64 21.0.10+7-1~24.04
2026-02-07 12:13:51 upgrade openjdk-21-jre-headless:amd64 21.0.9+10-1~24.04 21.0.10+7-1~24.04
2026-02-07 12:13:51 status half-configured openjdk-21-jre-headless:amd64 21.0.9+10-1~24.04
2026-02-07 12:13:51 status unpacked openjdk-21-jre-headless:amd64 21.0.9+10-1~24.04
2026-02-07 12:13:51 status half-installed openjdk-21-jre-headless:amd64 21.0.9+10-1~24.04
2026-02-07 12:13:54 status unpacked openjdk-21-jre-headless:amd64 21.0.10+7-1~24.04
2026-02-07 12:13:54 startup packages configure
2026-02-07 12:13:54 configure openjdk-21-jre-headless:amd64 21.0.10+7-1~24.04 <none>
2026-02-07 12:13:54 status unpacked openjdk-21-jre-headless:amd64 21.0.10+7-1~24.04
2026-02-07 12:13:55 status half-configured openjdk-21-jre-headless:amd64 21.0.10+7-1~24.04
2026-02-07 12:13:55 status installed openjdk-21-jre-headless:amd64 21.0.10+7-1~24.04
2026-02-07 12:13:55 status triggers-pending ca-certificates-java:all 20240118
2026-02-07 12:13:55 status triggers-awaited openjdk-21-jre-headless:amd64 21.0.10+7-1~24.04
2026-02-07 12:13:55 trigproc desktop-file-utils:amd64 0.27-2build1 <none>
2026-02-07 12:13:55 status half-configured desktop-file-utils:amd64 0.27-2build1
2026-02-07 12:13:55 status installed desktop-file-utils:amd64 0.27-2build1
2026-02-07 12:13:55 trigproc hicolor-icon-theme:all 0.17-2 <none>
2026-02-07 12:13:55 status half-configured hicolor-icon-theme:all 0.17-2
2026-02-07 12:13:55 status installed hicolor-icon-theme:all 0.17-2
2026-02-07 12:13:55 trigproc gnome-menus:amd64 3.36.0-1.1ubuntu3 <none>
2026-02-07 12:13:55 status half-configured gnome-menus:amd64 3.36.0-1.1ubuntu3
2026-02-07 12:13:55 status installed gnome-menus:amd64 3.36.0-1.1ubuntu3
2026-02-07 12:13:55 trigproc ca-certificates-java:all 20240118 <none>
2026-02-07 12:13:55 status half-configured ca-certificates-java:all 20240118
2026-02-07 12:13:55 status installed openjdk-21-jre-headless:amd64 21.0.10+7-1~24.04
2026-02-07 12:13:55 status installed ca-certificates-java:all 20240118
2026-02-07 12:13:55 configure openjdk-21-jre:amd64 21.0.10+7-1~24.04 <none>
2026-02-07 12:13:55 status unpacked openjdk-21-jre:amd64 21.0.10+7-1~24.04
2026-02-07 12:13:55 status half-configured openjdk-21-jre:amd64 21.0.10+7-1~24.04
2026-02-07 12:13:55 status installed openjdk-21-jre:amd64 21.0.10+7-1~24.04
2026-02-07 12:14:01 startup archives unpack
2026-02-07 12:14:01 upgrade linux-libc-dev:amd64 6.8.0-90.91 6.8.0-94.96
2026-02-07 12:14:01 status half-configured linux-libc-dev:amd64 6.8.0-90.91
2026-02-07 12:14:01 status unpacked linux-libc-dev:amd64 6.8.0-90.91
2026-02-07 12:14:01 status half-installed linux-libc-dev:amd64 6.8.0-90.91
2026-02-07 12:14:02 status unpacked linux-libc-dev:amd64 6.8.0-94.96
2026-02-07 12:14:02 upgrade linux-tools-common:all 6.8.0-90.91 6.8.0-94.96
2026-02-07 12:14:02 status half-configured linux-tools-common:all 6.8.0-90.91
2026-02-07 12:14:02 status unpacked linux-tools-common:all 6.8.0-90.91
2026-02-07 12:14:02 status half-installed linux-tools-common:all 6.8.0-90.91
2026-02-07 12:14:02 status triggers-pending man-db:amd64 2.12.0-4build2
2026-02-07 12:14:02 status unpacked linux-tools-common:all 6.8.0-94.96
2026-02-07 12:14:02 startup packages configure
2026-02-07 12:14:02 configure linux-libc-dev:amd64 6.8.0-94.96 <none>
2026-02-07 12:14:02 status unpacked linux-libc-dev:amd64 6.8.0-94.96
2026-02-07 12:14:02 status half-configured linux-libc-dev:amd64 6.8.0-94.96
2026-02-07 12:14:02 status installed linux-libc-dev:amd64 6.8.0-94.96
2026-02-07 12:14:02 configure linux-tools-common:all 6.8.0-94.96 <none>
